T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
Q9VSD7	23.77113333	25.86633333	24.07226667	25.67456667	24.01513333	25.7066	25.76243333	26.1015	25.91736667
Q9VSE8	25.07693333	25.30666667	25.437	25.083	25.60456667	25.26573333	25.22293333	26.0814	26.1967
Q9VSF2	26.322	26.13793333	26.24073333	26.08746667	26.24606667	26.1052	26.119	26.39663333	26.2465
Q9VSF3	23.6957	23.8644	23.91923333	24.33866667	23.55263333	24.85393333	23.71403333	23.87873333	24.30276667
Q9VSH0	25.13913333	24.52496667	23.91183333	23.7407	23.98216667	24.53183333	24.79713333	23.98233333	24.0252
Q9VSH4	29.7691	29.71916667	30.18016667	29.51726667	30.22743333	29.5662	29.9141	30.34296667	30.2527
Q9VSI1	27.84466667	28.3792	27.75813333	28.21106667	27.72903333	28.65123333	29.15406667	28.84956667	28.80753333
Q9VSL7	24.72256667	23.53243333	24.60086667	24.74063333	23.7024	25.91806667	23.8907	23.8543	24.83753333
Q9VSL9	25.87343333	25.533	26.2593	25.35683333	27.10883333	26.2535	26.54886667	26.90856667	26.73583333
Q9VSN9	27.82656667	27.63773333	27.8045	27.63803333	27.7378	27.98536667	28.00743333	28.39216667	28.43416667
Q9VSP0	23.2452	23.54606667	23.78783333	23.0567	23.48586667	23.85936667	23.9957	24.8655	24.78083333
Q9VSR5	26.76256667	27.16226667	27.06046667	27.40433333	27.46866667	27.05646667	27.63023333	27.3777	27.74906667
Q9VSS1	24.00553333	23.79743333	24.40186667	24.53666667	24.9635	25.18976667	24.213	23.85736667	24.96826667
Q9VSS2	26.99796667	26.7281	27.1356	26.7022	27.18006667	27.179	26.96396667	27.4827	27.61716667
Q9VSW1	23.94326667	23.91666667	23.7123	23.8885	23.3758	23.8311	23.89813333	24.14423333	23.95416667
Q9VSW5	27.87186667	28.2587	27.24123333	27.9965	27.58073333	27.11436667	27.43433333	27.37776667	26.9231
Q9VSW7	25.44586667	25.37676667	25.29136667	25.19466667	25.13196667	24.2059	23.54173333	24.79796667	24.39773333
Q9VSX7	23.87623333	24.24733333	24.94693333	23.67813333	23.6872	24.96143333	24.32846667	24.11323333	23.8607
Q9VSY4	26.41713333	25.87426667	24.30266667	25.74823333	25.50566667	25.75723333	25.70013333	25.3438	24.79573333
Q9VT00	27.2863	27.335	27.22793333	27.3029	27.2296	27.441	27.15273333	27.52753333	27.40483333
Q9VT04	25.65603333	24.58883333	24.85853333	24.57353333	23.69613333	26.18846667	25.6632	26.33133333	26.3803
